q_num,q_lbl_cat,q_lbl_eng,bigfive_code,bigfive_lbl_eng,bigfive_lbl_cat
1,M’agrada trobar-me amb altres persones,I like to meet with other people,1,Energy / Extraversion,Energia / Extraversió
2,Comparteixo les meves coses amb altres persones,I share my things with other people,2,Agreeableness,Simpatia / Empatia
3,Faig la meva feina sense deixadesa ni poca atenció,I do my job without carelessness and inattention,3,Conscientiousness,Meticulositat / Diligència
4,Em poso nerviós per coses amb poca importància,I get nervous for silly things,4,Emotional Instability,Inestabilitat emocional
5,Sé moltes coses,I know many things,5,Intellect / Openness,Intel·lecte / Amplitud de mires
6,Estic de mal humor,I am in a bad mood,4,Emotional Instability,Inestabilitat emocional
7,Treballo dur i amb plaer,I work hard and with pleasure,3,Conscientiousness,Meticulositat / Diligència
8,Discuteixo amb els altres amb entusiasme,I argue with others with excitement,4,Emotional Instability,Inestabilitat emocional
9,M’agrada competir amb els altres,I like to compete with others,1,Energy / Extraversion,Energia / Extraversió
10,Tinc molta imaginació,I have a great deal of fantasy,5,Intellect / Openness,Intel·lecte / Amplitud de mires
11,Em comporto correctament i honestament amb els altres,I behave correctly and honestly with others,2,Agreeableness,Simpatia / Empatia
12,Aprenc ràpidament el que estudio a l’escola,I easily learn what I study at school,5,Intellect / Openness,Intel·lecte / Amplitud de mires
13,Sé quan els altres necessiten la meva ajuda,I understand when others need my help,2,Agreeableness,Simpatia / Empatia
14,M’agrada moure’m i fer molta activitat,I like to move and to do a great deal of activity,1,Energy / Extraversion,Energia / Extraversió
15,M’enfado fàcilment,I easily get angry,4,Emotional Instability,Inestabilitat emocional
16,M’agrada donar regals,I like to give gifts,2,Agreeableness,Simpatia / Empatia
17,Em barallo amb altres,I quarrel with others,4,Emotional Instability,Inestabilitat emocional
18,"Quan el professor o professora pregunta a classe, jo sóc capaç de respondre correctament",When the teacher asks questions I am able to answer correctly,5,Intellect / Openness,Intel·lecte / Amplitud de mires
19,M’agrada estar amb altra gent,I like to be with others ,1,Energy / Extraversion,Energia / Extraversió
